date,event,category,notes
2010-04-20,Deepwater Horizon oil spill,Supply shock,Major Gulf of Mexico spill tightened risk perception in offshore output.
2011-02-15,Arab Spring unrest in Libya,Geopolitical conflict,Libyan production outages tightened Mediterranean supply.
2012-01-23,EU embargo on Iranian oil,Sanctions,EU sanctions escalated supply risk for Iranian exports.
2014-11-27,OPEC maintains output despite oversupply,OPEC policy,OPEC decision accelerated price decline.
2015-07-14,JCPOA nuclear deal with Iran,Sanctions relief,Expectation of Iranian barrels returning to market.
2016-11-30,OPEC+ announces first coordinated cuts,OPEC policy,Production cuts supported price recovery.
2018-05-08,US exits JCPOA and reimposes sanctions,Sanctions,Renewed sanctions constrained Iranian exports.
2018-10-03,Khashoggi crisis and Saudi production signals,Geopolitical risk,Heightened uncertainty around Saudi policy.
2019-09-14,Abqaiq-Khurais attacks in Saudi Arabia,Geopolitical conflict,Temporary outage of major Saudi processing capacity.
2020-03-08,OPEC+ talks collapse,Price war,OPEC+ breakdown triggered sharp price drop.
2020-04-20,WTI futures settle negative,Market shock,Global demand collapse during COVID-19 lockdowns.
2020-04-12,OPEC+ agrees record production cuts,OPEC policy,Coordinated cuts aimed to rebalance market.
2022-02-24,Russia invades Ukraine,Geopolitical conflict,Sanctions and supply risks pushed prices higher.
2022-03-31,US releases strategic petroleum reserve,Policy response,SPR releases aimed to ease short-term prices.
2022-10-05,OPEC+ announces 2 mbpd cut,OPEC policy,Large cut signaled tighter supply heading into 2023.
